Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Smallest Bandwidth [Kbps]
20;NOT USED;14.05;2239815;0.71;1.45;7.87;TRUE;0.17;0.12;0.14;7.16;6.74;6.80;7.28;6.86;6.94;2698
20;NOT USED;20.64;4293938;0.71;1.05;1.73;TRUE;0.17;0.12;0.14;12.95;12.87;12.91;13.12;12.99;13.05;2698
20;NOT USED;33.55;8869498;0.71;0.90;1.62;TRUE;0.16;0.11;0.14;26.61;26.53;26.57;26.77;26.65;26.71;2698
20;NOT USED;55.28;15890720;0.71;0.84;1.62;TRUE;0.16;0.12;0.13;47.58;47.49;47.53;47.74;47.62;47.67;2698
20;NOT USED;103.06;32095088;0.71;0.83;2.38;TRUE;0.16;0.12;0.14;97.43;95.88;96.00;97.56;96.01;96.14;2698
20;NOT USED;207.66;67108864;0.71;0.78;1.62;TRUE;0.16;0.11;0.14;200.93;200.43;200.49;201.05;200.56;200.63;2698
20;NOT USED;408.13;134217728;0.71;0.77;1.62;TRUE;0.16;0.11;0.13;400.92;400.81;400.85;401.06;400.93;400.99;2698
20;NOT USED;14.14;2239815;0.71;1.31;2.69;TRUE;0.16;0.12;0.14;6.82;6.73;6.77;6.98;6.86;6.91;2698
20;NOT USED;20.22;4293938;0.71;1.05;1.72;TRUE;0.18;0.12;0.14;12.95;12.87;12.91;13.11;12.99;13.05;2698
20;NOT USED;33.91;8869498;0.71;0.94;2.98;TRUE;0.16;0.12;0.14;27.08;26.53;26.60;27.20;26.65;26.74;2698
20;NOT USED;56.12;15890720;0.71;0.87;2.42;TRUE;0.17;0.12;0.14;48.26;47.50;47.57;48.40;47.62;47.71;2698
20;NOT USED;103.32;32095088;0.71;0.80;1.63;TRUE;0.16;0.12;0.14;95.96;95.88;95.92;96.11;96.01;96.06;2698
20;NOT USED;207.46;67108864;0.71;0.78;1.63;TRUE;0.16;0.12;0.14;200.51;200.42;200.47;200.67;200.54;200.61;2698
20;NOT USED;408.25;134217728;0.71;0.77;1.63;TRUE;0.17;0.12;0.13;400.94;400.80;400.85;401.09;400.92;400.99;2698
20;USED;15.34;2239815;3.46;12.95;51.38;TRUE;9.35;0.12;4.11;3.51;0.81;2.36;10.79;3.55;6.47;5396
20;USED;19.30;4293938;2.16;7.33;27.64;TRUE;12.43;0.12;5.04;6.59;1.32;4.38;14.95;6.62;9.42;5396
20;USED;27.91;8869498;1.39;3.82;12.72;TRUE;21.60;0.12;8.71;13.41;2.41;8.88;24.02;13.45;17.59;5396
20;USED;41.23;15890720;1.10;2.46;7.96;TRUE;27.73;0.12;12.84;23.89;4.15;15.79;34.41;23.94;28.63;5396
20;USED;74.80;32095088;0.88;1.57;4.27;TRUE;52.26;0.12;25.24;48.09;8.09;31.73;71.43;48.13;56.98;5396
20;USED;152.20;67108864;0.79;1.12;2.42;TRUE;107.68;0.12;52.49;100.35;16.62;66.17;147.97;100.40;118.67;5396
20;USED;289.03;134217728;0.74;0.90;1.55;TRUE;207.97;0.11;102.24;200.55;32.97;132.19;285.20;200.60;234.44;5396
20;USED;14.51;2239815;0.70;5.87;51.01;TRUE;9.35;0.11;3.04;3.51;0.81;2.36;10.80;3.55;5.41;5396
20;USED;18.87;4293938;0.70;3.27;27.07;TRUE;12.43;0.12;5.64;6.59;1.31;4.38;15.20;6.62;10.03;5396
20;USED;28.52;8869498;0.70;1.99;13.93;TRUE;18.58;0.12;8.71;13.41;2.44;8.88;24.13;13.45;17.59;5396
20;USED;43.47;15890720;0.70;1.42;7.96;TRUE;30.83;0.12;13.76;23.90;4.15;15.79;39.58;23.94;29.55;5396
20;USED;78.47;32095088;0.70;1.05;4.30;TRUE;55.45;0.12;25.85;48.08;8.09;31.73;74.82;48.13;57.59;5396
20;USED;150.97;67108864;0.70;0.86;2.31;TRUE;107.68;0.12;52.95;100.36;16.61;66.17;147.96;100.41;119.13;5396
20;USED;291.15;134217728;0.70;0.78;1.75;TRUE;206.06;0.11;101.95;200.54;33.03;132.20;286.41;200.59;234.15;5396
20;USED;29.17;8869498;1.23;16.04;110.90;TRUE;21.52;0.11;9.31;13.41;3.46;9.29;25.47;13.42;18.60;5396
20;NOT USED;14.27;2239815;1.43;2.40;7.83;TRUE;0.17;0.12;0.14;7.16;6.73;6.80;7.28;6.85;6.94;2698
20;NOT USED;20.06;4293938;1.09;1.41;1.75;TRUE;0.16;0.12;0.13;12.95;12.87;12.91;13.11;13.00;13.05;2698
20;NOT USED;33.79;8869498;0.92;1.43;7.20;TRUE;0.16;0.12;0.14;28.19;26.54;26.67;28.31;26.67;26.81;2698
20;NOT USED;55.77;15890720;0.79;0.88;0.97;TRUE;0.15;0.11;0.13;47.57;47.49;47.53;47.73;47.61;47.67;2698
20;NOT USED;104.55;32095088;0.74;0.79;0.83;TRUE;0.16;0.12;0.14;95.96;95.88;95.92;96.12;96.00;96.06;2698
20;NOT USED;208.82;67108864;0.72;0.82;2.36;TRUE;0.15;0.12;0.13;203.68;200.43;200.63;203.81;200.56;200.77;2698
20;NOT USED;408.19;134217728;0.71;0.72;0.74;TRUE;0.16;0.12;0.13;400.94;400.81;400.85;401.09;400.93;400.99;2698
20;NOT USED;13.80;2239815;0.71;1.31;2.78;TRUE;0.15;0.12;0.13;6.82;6.73;6.77;6.98;6.85;6.91;2698
20;NOT USED;20.40;4293938;0.71;1.05;1.72;TRUE;0.16;0.12;0.14;12.95;12.87;12.91;13.11;13.00;13.05;2698
20;NOT USED;34.05;8869498;0.71;0.90;1.63;TRUE;0.16;0.11;0.13;26.61;26.53;26.57;26.77;26.65;26.71;2698
20;NOT USED;54.84;15890720;0.71;0.84;1.63;TRUE;0.16;0.12;0.14;47.58;47.49;47.53;47.74;47.61;47.67;2698
20;NOT USED;103.33;32095088;0.71;0.80;1.63;TRUE;0.16;0.11;0.13;96.00;95.89;95.92;96.15;96.01;96.06;2698
20;NOT USED;207.52;67108864;0.71;0.78;1.63;TRUE;0.17;0.12;0.13;200.51;200.43;200.47;200.68;200.55;200.61;2698
20;NOT USED;408.29;134217728;0.71;0.77;1.63;TRUE;0.16;0.12;0.14;400.90;400.80;400.85;401.04;400.92;400.99;2698
20;USED;15.78;2239815;3.43;13.38;52.49;TRUE;9.35;0.12;2.89;3.51;0.82;2.36;10.17;3.56;5.26;5396
20;USED;20.28;4293938;2.13;7.18;25.33;TRUE;12.43;0.12;5.03;6.59;1.30;4.38;15.21;6.62;9.42;5396
20;USED;29.67;8869498;1.39;3.99;13.65;TRUE;21.57;0.11;9.16;13.43;2.43;8.89;26.50;13.45;18.06;5396
20;USED;42.00;15890720;1.07;2.49;8.01;TRUE;30.80;0.12;13.45;23.91;4.15;15.79;37.48;23.93;29.25;5396
20;USED;76.04;32095088;0.89;1.56;4.23;TRUE;55.34;0.11;26.31;48.08;8.09;31.73;71.76;48.12;58.04;5396
20;USED;152.27;67108864;0.78;1.12;2.38;TRUE;107.68;0.12;52.64;100.35;16.62;66.18;148.02;100.41;118.83;5396
20;USED;289.42;134217728;0.74;0.91;1.55;TRUE;206.00;0.12;102.24;200.62;32.97;132.20;286.42;200.59;234.45;5396
20;USED;14.59;2239815;3.49;13.58;52.31;TRUE;9.33;0.12;3.04;3.52;0.82;2.36;10.16;3.56;5.41;5396
20;USED;18.83;4293938;2.13;7.43;27.45;TRUE;12.43;0.11;5.34;6.58;1.32;4.38;15.21;6.62;9.73;5396
20;USED;26.04;8869498;1.39;3.88;12.91;TRUE;18.50;0.11;8.09;13.42;2.42;8.88;23.43;13.45;16.98;5396
20;USED;42.35;15890720;1.08;2.52;7.93;TRUE;27.79;0.12;13.45;23.89;4.14;15.79;37.48;23.94;29.25;5396
20;USED;77.35;32095088;0.89;1.58;4.32;TRUE;55.01;0.11;26.00;48.08;8.10;31.73;71.77;48.12;57.74;5396
20;USED;150.58;67108864;0.79;1.13;2.42;TRUE;107.16;0.12;51.72;100.35;16.62;66.18;147.39;100.40;117.91;5396
20;USED;290.80;134217728;0.74;0.91;1.55;TRUE;205.89;0.12;101.94;200.59;32.97;132.20;286.23;200.60;234.14;5396
20;USED;12.74;2239815;3.40;13.59;52.31;TRUE;6.28;0.11;2.43;3.51;0.82;2.36;7.82;3.55;4.79;5396
20;USED;18.74;4293938;2.19;7.26;27.64;TRUE;12.44;0.12;5.03;6.58;1.32;4.38;15.21;6.62;9.42;5396
20;USED;27.83;8869498;1.40;3.83;12.82;TRUE;18.58;0.12;8.40;13.41;2.42;8.88;24.09;13.45;17.28;5396
20;USED;42.81;15890720;1.08;2.48;8.01;TRUE;30.76;0.12;13.91;23.89;4.15;15.79;40.35;23.93;29.70;5396
20;USED;77.62;32095088;0.88;1.59;4.31;TRUE;55.45;0.11;25.70;48.08;8.09;31.74;74.82;48.12;57.44;5396
20;USED;148.82;67108864;0.79;1.12;2.42;TRUE;107.08;0.11;51.57;100.36;16.62;66.18;144.89;100.40;117.75;5396
20;USED;291.40;134217728;0.75;0.91;1.56;TRUE;208.39;0.11;103.16;200.54;32.97;132.20;288.36;200.60;235.37;5396
20;NOT USED;14.00;2239815;0.71;1.31;2.65;TRUE;0.17;0.11;0.14;6.81;6.73;6.77;6.98;6.85;6.91;2698
20;NOT USED;19.98;4293938;0.71;1.05;1.72;TRUE;0.16;0.12;0.13;12.95;12.87;12.91;13.11;12.99;13.05;2698
20;NOT USED;33.44;8869498;0.71;0.90;1.63;TRUE;0.15;0.11;0.13;26.61;26.53;26.57;26.77;26.64;26.71;2698
20;NOT USED;54.56;15890720;0.71;0.96;7.16;TRUE;0.16;0.11;0.14;50.49;47.49;47.68;50.62;47.61;47.82;2698
20;NOT USED;103.11;32095088;0.71;0.80;1.63;TRUE;0.17;0.11;0.14;95.96;95.88;95.92;96.13;96.00;96.06;2698
20;NOT USED;209.31;67108864;0.71;0.81;2.35;TRUE;0.16;0.11;0.13;203.67;200.43;200.63;203.79;200.55;200.77;2698
20;NOT USED;431.39;134217728;0.71;0.90;7.09;TRUE;0.15;0.12;0.13;426.22;400.80;402.12;426.34;400.93;402.26;2698
20;USED;15.44;2239815;3.55;13.30;52.49;TRUE;9.33;0.11;3.50;3.51;0.82;2.36;10.70;3.55;5.87;5396
20;USED;19.40;4293938;2.16;7.40;27.74;TRUE;12.43;0.11;5.34;6.58;1.32;4.38;15.21;6.62;9.73;5396
20;USED;29.60;8869498;1.41;3.93;13.70;TRUE;21.54;0.12;8.86;13.41;2.43;8.88;27.00;13.45;17.75;5396
20;USED;44.10;15890720;1.09;2.49;7.88;TRUE;30.76;0.11;14.52;23.89;4.14;15.79;40.37;23.93;30.32;5396
20;USED;77.13;32095088;0.89;1.58;4.31;TRUE;55.26;0.11;26.46;48.08;8.09;31.73;72.65;48.12;58.20;5396
20;USED;151.65;67108864;0.78;1.11;2.41;TRUE;107.69;0.11;53.25;100.37;16.62;66.17;147.97;100.40;119.43;5396
20;USED;291.25;134217728;0.74;0.90;1.54;TRUE;206.01;0.12;101.79;200.54;32.97;132.19;286.37;200.59;233.98;5396
20;NOT USED;13.76;2239815;0.71;1.34;3.07;TRUE;0.16;0.11;0.13;6.84;6.74;6.78;6.98;6.86;6.92;2698
20;NOT USED;19.81;4293938;0.71;1.10;3.59;TRUE;0.15;0.12;0.13;13.19;12.88;12.92;13.31;13.00;13.06;2698
20;NOT USED;33.60;8869498;0.71;0.93;2.66;TRUE;0.16;0.12;0.14;27.00;26.54;26.59;27.12;26.66;26.73;2698
20;NOT USED;54.73;15890720;0.71;0.84;1.63;TRUE;0.15;0.12;0.13;47.57;47.50;47.53;47.73;47.63;47.67;2698
20;NOT USED;102.95;32095088;0.71;0.80;1.63;TRUE;0.16;0.12;0.14;95.96;95.88;95.92;96.12;96.00;96.06;2698
20;NOT USED;208.22;67108864;0.71;0.78;1.63;TRUE;0.17;0.12;0.14;200.50;200.42;200.46;200.68;200.55;200.61;2698
20;NOT USED;408.05;134217728;0.71;0.77;1.63;TRUE;0.16;0.12;0.13;400.89;400.80;400.85;401.04;400.92;400.99;2698
20;NOT USED;13.90;2239815;0.71;1.43;7.52;TRUE;0.17;0.11;0.13;7.14;6.74;6.79;7.26;6.86;6.93;2698
20;NOT USED;20.08;4293938;0.71;1.08;2.66;TRUE;0.15;0.11;0.13;13.07;12.88;12.92;13.18;13.00;13.06;2698
20;NOT USED;33.87;8869498;0.71;0.90;1.63;TRUE;0.15;0.12;0.13;26.61;26.53;26.57;26.77;26.66;26.71;2698
20;NOT USED;54.53;15890720;0.71;0.84;1.63;TRUE;0.17;0.12;0.14;47.57;47.50;47.53;47.75;47.62;47.68;2698
20;NOT USED;103.14;32095088;0.71;0.83;2.37;TRUE;0.16;0.11;0.13;97.42;95.88;96.00;97.54;96.01;96.14;2698
20;NOT USED;208.02;67108864;0.71;0.78;1.63;TRUE;0.16;0.11;0.13;200.50;200.42;200.46;200.66;200.54;200.60;2698
20;NOT USED;429.30;134217728;0.71;0.93;7.10;TRUE;0.15;0.12;0.14;426.26;400.81;402.45;426.39;400.94;402.59;2698
20;USED;15.08;2239815;3.43;13.49;51.75;TRUE;9.37;0.12;4.27;3.51;0.82;2.36;10.91;3.55;6.63;5396
20;USED;19.13;4293938;2.12;7.29;27.93;TRUE;12.35;0.11;4.26;6.58;1.32;4.38;14.11;6.62;8.65;5396
20;USED;29.66;8869498;1.40;3.82;12.82;TRUE;21.57;0.11;8.70;13.41;2.42;8.88;26.51;13.45;17.59;5396
20;USED;44.42;15890720;1.09;2.51;7.98;TRUE;30.87;0.11;14.52;23.89;4.15;15.79;40.57;23.93;30.32;5396
20;USED;75.37;32095088;0.89;1.59;4.23;TRUE;52.37;0.11;25.70;48.08;8.09;31.73;71.75;48.12;57.43;5396
20;USED;150.42;67108864;0.79;1.12;2.42;TRUE;107.10;0.12;52.18;100.37;16.62;66.18;144.95;100.40;118.36;5396
20;USED;292.68;134217728;0.74;0.90;1.56;TRUE;208.96;0.11;102.55;200.55;32.97;132.19;289.30;200.59;234.75;5396
;;;;;;;;;;;;;;;;;
35;USED;20.46;2239815;2.08;8.20;39.13;TRUE;12.47;0.11;3.99;5.12;0.87;3.35;15.78;4.34;7.34;3620
35;USED;28.51;4293938;1.40;4.63;22.23;TRUE;18.52;0.11;7.58;9.71;1.55;6.29;23.73;9.73;13.88;3620
35;USED;45.80;8869498;1.03;2.64;10.25;TRUE;30.96;0.11;14.41;19.89;3.09;12.85;41.61;19.91;27.26;3620
35;USED;66.75;15890720;0.88;1.80;6.98;TRUE;43.17;0.11;24.04;35.51;5.39;22.92;63.40;35.54;46.96;3620
35;USED;126.05;32095088;0.79;1.24;3.82;TRUE;82.27;0.12;44.52;71.57;10.76;46.15;120.81;71.61;90.67;3620
35;USED;261.74;67108864;0.74;0.95;2.20;TRUE;159.50;0.11;91.80;149.48;22.36;96.34;257.22;149.52;188.14;3620
35;USED;508.35;134217728;0.72;0.82;1.33;TRUE;309.64;0.11;181.43;298.88;44.62;192.54;504.94;298.87;373.98;3620
35;NOT USED;23.66;2239815;0.72;1.24;3.34;TRUE;0.17;0.11;0.14;12.78;12.50;12.55;12.94;12.62;12.69;1448
35;NOT USED;35.06;4293938;0.72;1.03;2.49;TRUE;0.16;0.11;0.14;24.31;23.93;23.99;24.48;24.05;24.13;1448
35;NOT USED;61.15;8869498;0.72;0.95;3.00;TRUE;0.16;0.11;0.14;50.47;49.38;49.51;50.63;49.50;49.65;1448
35;NOT USED;99.49;15890720;0.72;0.89;2.27;TRUE;0.16;0.11;0.14;89.79;88.45;88.62;89.94;88.56;88.76;1448
35;NOT USED;192.04;32095088;0.72;0.88;2.93;TRUE;0.16;0.11;0.14;182.53;178.60;178.99;182.68;178.72;179.13;1448
35;NOT USED;388.05;67108864;0.71;0.85;2.32;TRUE;0.17;0.11;0.14;379.38;373.40;374.10;379.54;373.51;374.24;1448
35;NOT USED;766.38;134217728;0.70;0.81;2.34;TRUE;0.17;0.11;0.14;758.94;746.75;747.77;759.10;746.87;747.91;1448
35;NOT USED;23.29;2239815;0.72;1.25;3.41;TRUE;0.17;0.12;0.14;12.79;12.50;12.55;12.96;12.62;12.69;1448
35;NOT USED;34.49;4293938;0.72;1.05;2.83;TRUE;0.17;0.11;0.14;24.39;23.93;24.00;24.55;24.05;24.14;1448
35;NOT USED;60.23;8869498;0.72;0.95;3.01;TRUE;0.17;0.11;0.14;50.47;49.39;49.51;50.63;49.51;49.65;1448
35;NOT USED;99.04;15890720;0.72;0.89;2.42;TRUE;0.17;0.11;0.14;89.92;88.45;88.63;90.09;88.56;88.77;1448
35;NOT USED;191.87;32095088;0.72;0.87;2.42;TRUE;0.16;0.11;0.14;181.62;178.60;178.94;181.77;178.72;179.08;1448
35;NOT USED;387.21;67108864;0.71;0.85;2.20;TRUE;0.16;0.11;0.14;378.92;373.40;374.07;379.07;373.52;374.21;1448
35;NOT USED;771.53;134217728;0.70;0.85;2.72;TRUE;0.16;0.11;0.14;761.71;746.75;748.21;761.87;746.87;748.36;1448
35;USED;21.38;2239815;2.06;8.60;41.98;TRUE;15.45;0.11;5.56;5.12;0.91;3.35;18.10;1.26;8.92;3620
35;USED;29.38;4293938;1.38;4.68;22.30;TRUE;18.54;0.11;7.41;9.70;1.54;6.29;24.91;9.73;13.70;3620
35;USED;43.56;8869498;1.03;2.61;10.28;TRUE;30.60;0.11;13.88;19.88;3.07;12.85;38.32;19.91;26.74;3620
35;USED;68.03;15890720;0.88;1.77;6.17;TRUE;43.18;0.11;22.55;35.50;5.40;22.92;63.40;35.54;45.47;3620
35;USED;128.59;32095088;0.79;1.21;3.38;TRUE;80.05;0.11;45.40;71.56;10.78;46.14;123.88;71.60;91.55;3620
35;USED;257.66;67108864;0.74;0.95;2.20;TRUE;161.41;0.11;92.06;149.49;22.36;96.34;251.07;149.52;188.40;3620
35;USED;507.87;134217728;0.72;0.82;1.36;TRUE;307.76;0.11;180.73;298.87;44.65;192.54;503.09;298.87;373.27;3620
35;NOT USED;24.51;2239815;1.05;1.39;2.78;TRUE;0.16;0.11;0.14;12.71;12.50;12.54;12.87;12.62;12.68;1448
35;NOT USED;35.00;4293938;0.88;1.14;2.63;TRUE;0.17;0.11;0.14;24.34;23.93;23.99;24.50;24.05;24.14;1448
35;NOT USED;61.25;8869498;0.78;1.00;2.43;TRUE;0.17;0.11;0.14;50.19;49.38;49.49;50.35;49.50;49.63;1448
35;NOT USED;100.22;15890720;0.74;0.90;2.25;TRUE;0.17;0.11;0.14;89.77;88.45;88.59;89.94;88.57;88.73;1448
35;NOT USED;190.43;32095088;0.72;0.93;2.22;TRUE;0.16;0.11;0.14;181.26;178.60;178.98;181.42;178.72;179.12;1448
35;NOT USED;389.37;67108864;0.71;0.90;2.36;TRUE;0.17;0.11;0.14;379.55;373.40;374.14;379.71;373.52;374.28;1448
35;NOT USED;765.82;134217728;0.70;0.86;2.20;TRUE;0.15;0.11;0.14;757.85;746.75;747.99;758.01;746.88;748.13;1448
35;USED;23.65;2239815;0.70;5.97;38.85;TRUE;15.55;0.11;4.51;5.13;0.88;3.35;18.37;4.04;7.86;3620
35;USED;30.89;4293938;0.70;3.52;23.79;TRUE;21.70;0.11;8.80;9.69;1.55;6.29;26.95;9.74;15.10;3620
35;USED;43.24;8869498;0.70;2.04;10.42;TRUE;27.88;0.11;14.23;19.88;3.07;12.85;38.52;19.92;27.09;3620
35;USED;72.78;15890720;0.70;1.45;6.56;TRUE;43.28;0.11;23.60;35.50;5.39;22.92;66.28;35.54;46.52;3620
35;USED;132.77;32095088;0.70;1.06;3.57;TRUE;83.32;0.11;45.75;71.57;10.77;46.14;126.96;71.62;91.90;3620
35;USED;260.24;67108864;0.70;0.87;1.97;TRUE;160.38;0.11;92.50;149.52;22.38;96.34;254.13;149.52;188.84;3620
35;USED;506.46;134217728;0.70;0.79;1.37;TRUE;309.47;0.11;182.22;298.89;44.60;192.55;503.09;298.86;374.77;3620
35;USED;22.30;2239815;2.06;8.28;42.11;TRUE;15.51;0.11;5.30;5.13;0.87;3.35;18.19;1.25;8.65;3620
35;USED;27.55;4293938;1.40;4.67;20.60;TRUE;18.59;0.11;8.37;9.69;1.57;6.29;22.19;9.73;14.66;3620
35;USED;42.56;8869498;1.04;2.58;10.90;TRUE;30.88;0.11;15.28;19.87;3.06;12.85;38.52;19.92;28.14;3620
35;USED;69.12;15890720;0.89;1.77;7.02;TRUE;43.03;0.11;22.55;35.51;5.40;22.92;66.27;35.55;45.47;3620
35;USED;129.13;32095088;0.79;1.22;3.37;TRUE;80.25;0.11;44.61;71.58;10.78;46.15;126.60;71.60;90.76;3620
35;USED;260.31;67108864;0.74;0.95;1.98;TRUE;159.49;0.11;91.98;149.53;22.37;96.34;257.21;149.52;188.32;3620
35;USED;504.11;134217728;0.72;0.82;1.36;TRUE;310.98;0.11;182.05;298.85;44.62;192.54;499.99;298.87;374.59;3620
35;NOT USED;23.55;2239815;0.72;1.20;2.78;TRUE;0.16;0.11;0.14;12.71;12.50;12.54;12.88;12.62;12.68;1448
35;NOT USED;35.36;4293938;0.72;1.02;2.48;TRUE;0.18;0.11;0.14;24.31;23.93;23.99;24.47;24.05;24.13;1448
35;NOT USED;61.21;8869498;0.72;0.96;3.60;TRUE;0.17;0.11;0.14;50.77;49.38;49.51;50.92;49.50;49.65;1448
35;NOT USED;99.58;15890720;0.72;0.90;2.43;TRUE;0.16;0.11;0.14;89.93;88.45;88.63;90.08;88.56;88.78;1448
35;NOT USED;193.66;32095088;0.72;0.89;2.87;TRUE;0.16;0.11;0.14;182.41;178.60;179.00;182.57;178.72;179.15;1448
35;NOT USED;390.09;67108864;0.71;0.85;2.35;TRUE;0.17;0.11;0.14;379.51;373.40;374.09;379.69;373.52;374.23;1448
35;NOT USED;766.01;134217728;0.70;0.84;2.23;TRUE;0.15;0.11;0.14;758.10;746.75;748.08;758.25;746.87;748.22;1448
35;USED;21.64;2239815;2.06;8.39;38.72;TRUE;15.55;0.11;5.56;5.14;0.89;3.35;16.57;5.16;8.92;3620
35;USED;27.55;4293938;1.39;4.68;22.30;TRUE;21.64;0.11;8.54;9.70;1.55;6.29;24.56;9.73;14.84;3620
35;USED;47.56;8869498;1.03;2.63;10.35;TRUE;30.77;0.11;15.63;19.89;3.08;12.85;43.80;19.91;28.49;3620
35;USED;73.76;15890720;0.88;1.79;7.04;TRUE;46.30;0.11;24.30;35.50;5.39;22.92;69.56;35.54;47.22;3620
35;USED;128.71;32095088;0.79;1.22;3.84;TRUE;83.10;0.11;45.66;71.60;10.76;46.15;123.89;71.60;91.81;3620
35;USED;259.18;67108864;0.74;1.20;9.27;TRUE;159.20;0.11;92.59;162.06;22.38;96.70;254.79;149.55;189.29;3620
35;USED;505.10;134217728;0.72;0.82;1.44;TRUE;309.56;0.11;182.22;298.88;44.63;192.54;501.92;298.86;374.77;3620
35;NOT USED;24.22;2239815;0.72;1.21;3.27;TRUE;0.16;0.11;0.14;12.77;12.50;12.54;12.93;12.62;12.69;1448
35;NOT USED;35.30;4293938;0.72;1.05;3.02;TRUE;0.16;0.11;0.14;24.44;23.93;24.00;24.60;24.05;24.14;1448
35;NOT USED;61.32;8869498;0.72;0.95;2.73;TRUE;0.16;0.11;0.14;50.34;49.38;49.50;50.49;49.50;49.64;1448
35;NOT USED;100.78;15890720;0.72;0.91;2.82;TRUE;0.16;0.11;0.14;90.27;88.45;88.65;90.42;88.56;88.79;1448
35;NOT USED;191.73;32095088;0.72;0.88;2.46;TRUE;0.16;0.11;0.14;181.68;178.60;178.96;181.84;178.72;179.11;1448
35;NOT USED;389.32;67108864;0.71;0.87;2.75;TRUE;0.16;0.11;0.14;380.99;373.40;374.17;381.15;373.51;374.31;1448
35;NOT USED;764.34;134217728;0.70;0.84;2.26;TRUE;0.16;0.11;0.14;758.35;746.75;748.10;758.51;746.87;748.25;1448
35;USED;19.20;2239815;2.08;8.35;45.24;TRUE;15.36;0.11;4.95;5.13;0.87;3.35;16.36;4.30;8.30;3620
35;USED;31.10;4293938;1.40;4.67;20.67;TRUE;21.59;0.11;8.72;9.70;1.56;6.29;27.96;9.73;15.02;3620
